,city,hotel_name,rating,latitude,longitude,avg_temp
0,Aix en Provence,Aix Rooftop Appartement Luxe T2 - hypercentre Rotonde - Terrasse - Vue - Parking,9.0,43.525150629426,5.443194759525,9.0
1,Aix en Provence,Aparthotel Adagio Aix-en-Provence Centre,8.4,43.52890621393209,5.440869033336639,8.4
2,Aix en Provence,"Appartement chic, hyper centre",8.7,43.5284133,5.4524977,8.7
3,Aix en Provence,Aquabella Hôtel & Spa,8.6,43.53126359885809,5.445070043206215,8.6
4,Aix en Provence,B&B Villa Roumanille,9.0,43.51783611413024,5.442835092544556,9.0
5,Aix en Provence,Bed and Breakfast Jardin de Marie,9.1,43.52490233162744,5.450541079044342,9.1
6,Aix en Provence,Casa Hotel,8.0,43.527418652925085,5.441657311708809,8.0
7,Aix en Provence,Domaine de Carraire,8.8,43.5660625,5.3844477,8.8
8,Aix en Provence,Grand Hôtel Roi René Aix en Provence Centre - MGallery,8.4,43.52332474147478,5.449725687503815,8.4
9,Aix en Provence,HOTEL RESTAURANT OLYMPE,7.7,43.508036,5.439455,7.7
10,Aix en Provence,Hote-Aix-Centre-garage-piscine,9.1,43.51664446486407,5.441803332354751,9.1
11,Aix en Provence,Hotel Cardinal,8.6,43.5255987,5.45172079999998,8.6
12,Aix en Provence,Hôtel Cézanne Boutique-Hôtel,8.7,43.52356201318332,5.445937067270279,8.7
13,Aix en Provence,Hôtel Escaletto,8.5,43.53004967137571,5.444146692752838,8.5
14,Aix en Provence,Hôtel Le Mozart,8.4,43.5219176232722,5.457871556282044,8.4
15,Aix en Provence,Hôtel Paul,8.5,43.53336324193778,5.446056425571442,8.5
16,Aix en Provence,Hôtel Rotonde,8.1,43.52391013965681,5.442494451999664,8.1
17,Aix en Provence,Hôtel des Augustins,8.3,43.526886636225456,5.447271466255188,8.3
18,Aix en Provence,La Caravelle,8.4,43.52485921168219,5.4537007212638855,8.4
19,Aix en Provence,La Suite Albertas,8.1,43.527418,5.447695,8.1
20,Aix en Provence,Le Concorde,7.8,43.524612221014486,5.453754365444183,7.8
21,Aix en Provence,Negrecoste Hôtel & Spa,8.3,43.52684968617195,5.449010878801346,8.3
22,Aix en Provence,Odalys City Aix en Provence Les Floridianes,8.0,43.52133317821472,5.444777011871338,8.0
23,Aix en Provence,Séjours & Affaires Aix-en-Provence Mirabeau,7.8,43.525240781127486,5.441266000270844,7.8
24,Aix en Provence,thecamp Hôtel & Lodges - Aix en Provence,8.3,43.496316,5.3421520000000005,8.3
25,Amiens,Appartement Les Jardins de Jules Verne - Côté Jardin,9.2,49.8860539,2.2902209,9.2
26,Amiens,B&B HOTEL Amiens Centre Cathédrale,8.2,49.891999,2.291969999999992,8.2
27,Amiens,Chez Victor H,8.2,49.892289399306,2.302585711836,8.2
28,Amiens,DOWNTOWN COCOON - CENTRE VILLE - WiFi - NETFLIX,9.3,49.89225954723,2.294662871164,9.3
29,Amiens,Escale bohème - Terrasse en centre-ville,8.6,49.886286,2.3062299,8.6
30,Amiens,GreenStation-Gare-Centre Ville-Hortillonnages-WIFI,9.3,49.892892537820735,2.3103760752005265,9.3
31,Amiens,Holiday Inn Express Amiens by IHG,8.0,49.89167619790575,2.30775386095047,8.0
32,Amiens,Hotel Le Prieuré et La Résidence,8.4,49.894445193999786,2.3009423911571503,8.4
33,Amiens,L Amiens Haussmann-Gare-Centre-ville Hortillonnages-WIFI,9.3,49.8928126,2.3104514,9.3
34,Amiens,L'Escapade des Privilégiés,9.3,49.8831698,2.298902,9.3
35,Amiens,L'emeraude avec salle de sport,5.2,49.885523,2.2943646,5.2
36,Amiens,LA BERGE,9.2,49.8961025,2.3107899,9.2
37,Amiens,LES PERLES AMIENOISES GOLD PEARL Hyper Centre,9.6,49.8925625,2.3052844,9.6
38,Amiens,Le Nid - Studio in Hypercentre - Cathédrale,9.0,49.8933102,2.3041545,9.0
39,Amiens,Les Hortensias Blancs Studio,9.2,49.8961405,2.3007116,9.2
40,Amiens,Maison Longuevie,9.4,49.887694,2.294524,9.4
41,Amiens,Mercure Amiens Cathédrale,8.2,49.89571084445366,2.299562394618988,8.2
42,Amiens,Moxy Amiens,8.4,49.891249,2.30953,8.4
43,Amiens,Nemea Appart Hotel Coliseum Amiens Centre,8.5,49.8921749,2.2889352,8.5
44,Amiens,Odalys City Amiens Blamont,7.8,49.887148417540544,2.3116109042991866,7.8
45,Amiens,Plein centre- 90m Cathédrale - 2ch - 3 lits,9.7,49.8947525,2.2999821,9.7
46,Amiens,Soleil Levant - T2 avec terrasse proche gare&centre,8.6,49.886286,2.3062299,8.6
47,Amiens,"Une maison en ville, Hyper Centre ville, Spa",8.8,49.889702,2.29843919999996,8.8
48,Amiens,ibis Styles Amiens Centre,8.5,49.891422,2.304996,8.5
49,Amiens,ibis budget Amiens Centre Gare,8.0,49.891591,2.313573,8.0
50,Annecy,ALPES Annecy Rent Lodge,8.7,45.8990746,6.1281462,8.7
51,Annecy,ALTAI Annecy Rent Lodge,8.7,45.900898,6.1267063,8.7
52,Annecy,Allobroges Park Hôtel,8.9,45.90218660575059,6.123805046081543,8.9
53,Annecy,Appart Hotel Neostelia,9.0,45.912613103044,6.1170846711639,9.0
54,Annecy,Atipik Hôtel,8.3,45.90122721128739,6.125073730945587,8.3
55,Annecy,Auberge du Lyonnais,8.8,45.899053,6.124137,8.8
56,Annecy,Folk Loft,9.0,45.8981333,6.12401130000001,9.0
57,Annecy,HUDSON HIGHLANDS Annecy Rent Lodge,7.6,45.9011618,6.1237246,7.6
58,Annecy,Hotel Les Terrasses,8.7,45.90393736458728,6.119993627071381,8.7
59,Annecy,Hôtel Les Muses,7.9,45.9061192031712,6.15546584129333,7.9
60,Annecy,Hôtel de Bonlieu,8.4,45.90349688035514,6.128477454185486,8.4
61,Annecy,Hôtel des Alpes,8.4,45.90163038296463,6.122925281524658,8.4
62,Annecy,Hôtel du Nord,8.6,45.90205968292101,6.124647259712219,8.6
63,Annecy,Hôtel du Palais de l'Isle,8.0,45.89819586381138,6.127482354640961,8.0
64,Annecy,Icône Hôtel - Annecy,7.6,45.89714928882797,6.122658848653373,7.6
65,Annecy,Le Bel Abri,8.3,45.9054286568824,6.15925983313525,8.3
66,Annecy,Le Boutik Hotel,8.3,45.89771606659,6.13013094662711,8.3
67,Annecy,"Le Pura Vida, Hyper centre Terrasse + Parking",8.9,45.9026461,6.1248328,8.9
68,Annecy,Le Pélican,8.8,45.897015,6.131543,8.8
69,Annecy,Le Splendid Hotel Lac D'Annecy - Handwritten Collection,8.7,45.900678445133416,6.127447485923767,8.7
70,Annecy,Les Quais d'Annecy,8.1,45.9011213911173,6.11908832516588,8.1
71,Annecy,Lodges du Canal St-Dominique,8.8,45.899971,6.126298,8.8
72,Annecy,OURAL Annecy Rent Lodge,8.4,45.8990746,6.1281462,8.4
73,Annecy,Superb Studio In The Center Of Annecy,6.1,45.900267,6.121996,6.1
74,Annecy,View Point City,8.3,45.894649306131,6.1312773251312,8.3
75,Ariege,AUX 4 LOGIS Appart-hotel - Studio Le Roof - Une vue splendide - Petit déjeuner inclus 1ère nuit,8.8,42.9681599,1.6083351,8.8
76,Ariege,AUX 4 LOGIS Appart-hotel - Studio Le Terra - Petit déjeuner inclus 1ère nuit,9.0,42.968143122502,1.6083692723,9.0
77,Ariege,Brit Hotel Confort Foix,8.2,43.00523949646403,1.6147595643997192,8.2
78,Ariege,Camping Le Castella,8.6,42.7590836205981,1.7636721539672635,8.6
79,Ariege,Chalet Pyrénéen,7.8,43.221838,1.3976962,7.8
80,Ariege,Chaletdesilles MAYOTTE IIIII,9.7,43.040402889276,1.029170647113,9.7
81,Ariege,Chambre d'Hôtes La Bourdasse,9.5,43.0317313636535,1.5558797121047974,9.5
82,Ariege,Chambres d'hôtes Belle Occitane,9.2,42.84718520338425,1.606758534908295,9.2
83,Ariege,Chambres d'hôtes Relais Mira Peis,9.1,43.088176,1.875399,9.1
84,Ariege,Clos des Oliviers,9.5,43.087465378933,1.875738065382,9.5
85,Ariege,"Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne",9.6,43.087540393135015,1.871355308598368,9.6
86,Ariege,Hostellerie de La Poste,8.3,42.87471200315397,1.215839982032776,8.3
87,Ariege,La Maison des Consuls,9.2,43.0883043,1.8744475999999397,9.2
88,Ariege,Le Domaine d'Arignac,8.9,42.867575,1.6029912,8.9
89,Ariege,Le Grand Cerf - 4 Couchages,9.2,42.908524260607,1.721126121704,9.2
90,Ariege,Le Hameau du Comté de Foix,8.6,42.894548,1.634179,8.6
91,Ariege,Le Nopal Bleu,9.3,42.8485793,1.6071044,9.3
92,Ariege,Les Granges d'Ignaux,8.8,42.73192570181017,1.8392968650817745,8.8
93,Ariege,Les gîtes de Beille,8.1,42.78555710137,1.681665414963,8.1
94,Ariege,Malepère,9.1,43.05318016042,1.848653033064,9.1
95,Ariege,Petit Gîte TARA avec SPA - Ariege Pyrénées,8.6,42.932079,1.810394,8.6
96,Ariege,Skymist Maison d'hôtes,7.0,42.9021010307227,1.30223250424024,7.0
97,Ariege,Terres de France - Domaine du Palais,8.1,43.003051,1.13713,8.1
98,Ariege,dtente sky lodge,8.9,42.8945039821351,1.32823378698731,8.9
99,Ariege,loft At Besset,8.0,43.0838424368769,1.84741705656052,8.0
100,Avignon,APPARTEMENT T2 SPACIEUX ET COSY - HYPER-CENTRE - FREE WIFI - 2 pers,8.4,43.9450926,4.809831,8.4
101,Avignon,ApartHotel Sainte-Marthe,7.9,43.94989513805674,4.819863885641098,7.9
102,Avignon,Apartment 40m2-Air conditioning-Elevator-Underground parking-Self checkin! Appart climatisé 40m2-Ascenseur-Parking souterrain -Arrivée autonome,9.8,43.9451879,4.7996263,9.8
103,Avignon,Chanteloche CLIM Netflix Disney by Rentabao,8.7,43.94762745471637,4.811763398147605,8.7
104,Avignon,Charme au cœur d'avignon,9.7,43.947744,4.80797,9.7
105,Avignon,Garlande Hôtel Avignon Centre,8.9,43.94761833011378,4.806803539395332,8.9
106,Avignon,Hotel d'Angleterre,8.0,43.944616324685065,4.8006123304367065,8.0
107,Avignon,Hôtel Cloitre Saint Louis Avignon,7.6,43.94380810369034,4.804946780204773,7.6
108,Avignon,Hôtel Le Bristol,8.2,43.94403212781474,4.80533167719841,8.2
109,Avignon,Hôtel Les Corps Saints,7.6,43.944233090012354,4.806668758392334,7.6
110,Avignon,La Banasterie,9.4,43.94986997607394,4.808515459299088,9.4
111,Avignon,Le Madaloca - AC CLIM - WIFI - HYPERCENTRE,9.6,43.948015,4.8072843,9.6
112,Avignon,Le Petit Avignon - chambres & appartement à deux pas du Pont d'Avignon et du Palais des Papes,9.3,43.950653881879,4.803308596474,9.3
113,Avignon,Le Pi-gnotte - Wi-fi - CENTRE VILLE,8.6,43.948523,4.8121323,8.6
114,Avignon,Les Cachettes,8.8,43.95098993957507,4.810630206151586,8.8
115,Avignon,Maison Lumière - Appart. T2 architecte intra-muros,9.2,43.9480697,4.8111015,9.2
116,Avignon,"Mini-loft, Clos des Arts - parking gratuit",9.5,43.945588602008,4.810122790531,9.5
117,Avignon,My Pad Provence 2,9.0,43.9514058680036,4.803405723278843,9.0
118,Avignon,My Pad Provence 6,9.3,43.9515236,4.8170918,9.3
119,Avignon,T2 centre ville avec extérieur,9.5,43.945666,4.810924,9.5
120,Avignon,T3 Appartement HYPERCENTRE PROCHE COMMERCE- PARKING - 2 Chambres Wifi Gratuit,8.1,43.9450926,4.809831,8.1
121,Avignon,UXCO République,6.8,43.94603671990348,4.805869460105896,6.8
122,Avignon,Villa Maya Romana 6 - CLIM,9.5,43.9528815,4.8230448,9.5
123,Avignon,Villa Pauline,9.4,43.9577999,4.8341807,9.4
124,Avignon,Villas Maya 2 - Picholine - AVIGNON - CLIM - WIFI - Terrasse,9.1,43.9528815,4.8230448,9.1
125,Bayeux,"Appartement centre-ville Bayeux, tout à pied !",9.5,49.2764341,-0.6999725,9.5
126,Bayeux,Chambre d'hôtes Logis de Saint Jean,9.0,49.27600708695382,-0.6982836127281189,9.0
127,Bayeux,Churchill Hotel Bayeux Centre,8.2,49.27660730434995,-0.7005715370178223,8.2
128,Bayeux,Château de Bellefontaine - Teritoria,7.7,49.26974024114688,-0.6888395547866821,7.7
129,Bayeux,Clos de Bellefontaine B&B,9.6,49.27267163506437,-0.694861114025116,9.6
130,Bayeux,Croissant de Lune #2 - Old Town,7.7,49.276456069178,-0.699303999406,7.7
131,Bayeux,Domaine de Bayeux,9.1,49.27232559999999,-0.6985101000000213,9.1
132,Bayeux,Hello Bayeux #2 by Melrose,8.3,49.2780891,-0.7023853,8.3
133,Bayeux,Hotel Le Lion D'Or et Restaurant La Table Du Lion,8.6,49.27627832312484,-0.6983694434165955,8.6
134,Bayeux,Hotel Reine Mathilde,8.6,49.276031585766006,-0.7017248868942261,8.6
135,Bayeux,Hôtel De Brunville & Spa,8.0,49.27815768633019,-0.7035139203071594,8.0
136,Bayeux,"Hôtel particulier ""le clos de la croix""",9.8,49.277964,-0.701677,9.8
137,Bayeux,La Plus Petite Maison De France,9.2,49.27661977234524,-0.7010999321937561,9.2
138,Bayeux,Le Boudoir,9.5,49.281362347408,-0.700075818886,9.5
139,Bayeux,Le Castel Guesthouse,8.7,49.27368314430212,-0.7032269239425659,8.7
140,Bayeux,Le Clos de la Chapelle Bayeux,9.5,49.2763363,-0.6998627,9.5
141,Bayeux,Le Declic,8.3,49.27933593079586,-0.7070561004303499,8.3
142,Bayeux,Le Mûrier de Bayeux,9.8,49.2769354,-0.7072805999999999,9.8
143,Bayeux,Le P'tit Croissant,9.3,49.276309904443,-0.699251303705,9.3
144,Bayeux,Le Petit Matin,9.5,49.27606133430732,-0.7090553641319275,9.5
145,Bayeux,Manoir Sainte Victoire,9.6,49.2764917090797,-0.705759599804878,9.6
146,Bayeux,Novotel Bayeux,8.0,49.281769222390345,-0.7184886932373047,8.0
147,Bayeux,The 5th - Appartement Cosy Coeur historique - Cathédrale,8.3,49.274516,-0.7022678,8.3
148,Bayeux,Tiny house au cœur de Bayeux,9.6,49.2755584,-0.6992038,9.6
149,Bayeux,Villa Des Ursulines,8.3,49.27646774792992,-0.7055658153442437,8.3
150,Bayonne,Amatxi Etxea Au cœur du centre historique,8.2,43.491263017069,-1.475549617197,8.2
151,Bayonne,Baiona,9.3,43.48722,-1.46584,9.3
152,Bayonne,Baionakoa Résidence,9.0,43.48982756216983,-1.4769295843610737,9.0
153,Bayonne,Hostel 20 Bayonne,7.7,43.49535,-1.468753,7.7
154,Bayonne,Hotel Cote Basque,8.0,43.49618306480432,-1.4696010947227478,8.0
155,Bayonne,Hotel Le Port Neuf,8.1,43.49166880556409,-1.47638238966465,8.1
156,Bayonne,Hotel Loreak,8.2,43.49349108918729,-1.4526334404945374,8.2
157,Bayonne,Hôtel Le Bayonne,8.3,43.485026198989566,-1.4753705263137815,8.3
158,Bayonne,Hôtel Mercure Bayonne Centre Le Grand Hotel,8.4,43.492311913537534,-1.476609706878662,8.4
159,Bayonne,Hôtel Villa KOEGUI Bayonne,8.9,43.492371,-1.472588,8.9
160,Bayonne,Hôtel des Arceaux,7.1,43.4922497,-1.4757726000000275,7.1
161,Bayonne,Hôtel des Basses Pyrénées - Bayonne,8.5,43.48841135250723,-1.47714337381899,8.5
162,Bayonne,"Le Balcon de l’Adour, Parking, Vue",8.7,43.508182773291,-1.481726637434,8.7
163,Bayonne,Libertitu,9.2,43.494486,-1.483622,9.2
164,Bayonne,Loft ERREKALDEA 3 chambres 140m2 1er étage ascenseur 200m mairie,9.0,43.4915017789507,-1.47537070476983,9.0
165,Bayonne,Maison d'hôtes City Break MIRADOUR,8.6,43.489513,-1.479078,8.6
166,Bayonne,Okko Hotels Bayonne Centre,8.2,43.49534430000001,-1.4825117999999975,8.2
167,Bayonne,Parc 709 Bayonne,9.1,43.495606,-1.481317,9.1
168,Bayonne,T2 BASQUE BAYONNE,8.6,43.497239392111,-1.467787295107,8.6
169,Bayonne,Temporesidence Cathedrale,8.0,43.48954192769906,-1.4781244844198227,8.0
170,Bayonne,Temporesidence Chateauneuf,7.3,43.48991068270512,-1.4731402695178986,7.3
171,Bayonne,ibis Bayonne Centre,8.1,43.492713,-1.465659,8.1
172,Bayonne,ibis Styles Bayonne,8.5,43.4954057411974,-1.4708241820335388,8.5
173,Bayonne,ibis budget Bayonne,7.6,43.489082618638825,-1.4571780861297157,7.6
174,Bayonne,jeu de paume,8.8,43.4898477,-1.4718019,8.8
175,Besancon,- N26- Studio calme et lumineux cœur de ville,8.6,47.235171878729,6.024493453373,8.6
176,Besancon,Appartement Centre ville Besançon,9.0,47.2389483,6.0176313,9.0
177,Besancon,Appartement avec sauna au pied de la citadelle,9.3,47.2338443,6.0287922,9.3
178,Besancon,"Appartement très calme, terrasse & jardin en ville",9.0,47.239625059513,6.010174032241,9.0
179,Besancon,Au Duplex d'Or Centre Historique,9.7,47.233664356844,6.029148903705,9.7
180,Besancon,B&B HOTEL Besançon Valentin,8.6,47.2801612,5.9877459,8.6
181,Besancon,Best Western Citadelle,8.1,47.23154100035795,6.026580333709717,8.1
182,Besancon,Best Western Hotel Fontaine Argent,8.3,47.246146,6.033186,8.3
183,Besancon,Chambre d'Hôtes La Villa Molina,9.3,47.25044475006427,6.02088063955307,9.3
184,Besancon,Charmant cocon centre historique,9.2,47.2345273,6.0274517,9.2
185,Besancon,Comfort Aparthotel Besancon Hauts du Chazal,8.0,47.22448655881508,5.956124067306519,8.0
186,Besancon,Comfort Aparthotel Besancon La City,7.9,47.235682520054645,6.01401150226593,7.9
187,Besancon,Hotel Du Nord,8.3,47.23727602649555,6.02586954832077,8.3
188,Besancon,Hotel Régina,7.1,47.23664,6.025664,7.1
189,Besancon,Hotel Vauban,8.3,47.23986295611545,6.02139884220378,8.3
190,Besancon,Hôtel Restaurant Spa Le Sauvage,8.6,47.23171766809705,6.027591526508331,8.6
191,Besancon,L'adresse à Besançon,9.7,47.247368341192,6.031483743655,9.7
192,Besancon,Les Fabuleux appartements du Coeur de ville - Place Victor Hugo,8.5,47.235012635508,6.029440829448,8.5
193,Besancon,Logis Hôtel Victor Hugo & Spa,8.2,47.24741870976628,6.023643314838409,8.2
194,Besancon,Mercure Besancon Parc Micaud - Hotel & Bar,8.2,47.2422875195244,6.031794548034668,8.2
195,Besancon,Temis hôtel anciennement All Suites Besançon,7.9,47.25435722578138,5.995480120182037,7.9
196,Besancon,ibis Besançon Centre Ville,8.3,47.24045605146395,6.025995332734055,8.3
197,Besancon,ibis Besançon Centre la City,7.8,47.23549140373459,6.0149883853889605,7.8
198,Besancon,ibis Styles Besançon,7.9,47.2542534551454,6.021639704704285,7.9
199,Besancon,ibis budget Besançon Centre Gare,7.7,47.246846407466016,6.023120284080505,7.7
200,Biarritz,AGTBAB,9.0,43.4815752,-1.56805540000005,9.0
201,Biarritz,ALFRED HOTELS Les Halles,9.1,43.481694404236,-1.5630841255187988,9.1
202,Biarritz,Amazing Cosy Studio with Ocean View & Pool,10.0,43.4847155,-1.5573339,10.0
203,Biarritz,BIARRITZ Victoria Surf,8.7,43.4840168,-1.5579647,8.7
204,Biarritz,Carlton Beach,7.3,43.48529365218,-1.555050269312,7.3
205,Biarritz,Coliving Biarritz,8.0,43.479357,-1.562543,8.0
206,Biarritz,Coup de Cœur assuré pour ce T2 rénové Hyper centre,8.8,43.480819,-1.563038,8.8
207,Biarritz,Hotel Biarritz Atlantique - Lycée Hotelier - Management School,8.6,43.46235808911393,-1.5522771711639507,8.6
208,Biarritz,Hotel Edouard VII,9.1,43.479203222687474,-1.5622150897979736,9.1
209,Biarritz,Hôtel & Espace Bien-être La Maison du Lierre,8.9,43.480133535313925,-1.560761332511902,8.9
210,Biarritz,Hôtel Barnea,9.1,43.48072811046226,-1.5642817318439484,9.1
211,Biarritz,Hôtel Le Windsor Biarritz,8.1,43.48437425594828,-1.5586356818675997,8.1
212,Biarritz,Hôtel de La Plage,9.1,43.482133269718496,-1.567530557513237,9.1
213,Biarritz,"L'océan à perte de vue, la grande plage à vos pieds",9.5,43.4845717,-1.5575612,9.5
